DNA_transposon;red
RC;red
Non-LTR_retrotransposon;orange
LTR_retrotransposon;olivedrab4
rDNA;yellow
IGS;yellow
Rsp;#b15928
Rsp-LIKE;#b15928
Jockey;orange
Jockey-3;maroon2
HETA;#6a3d9a
TART-A;#6a3d9a
TAHRE;#6a3d9a
TART_B1;#6a3d9a
TART-C_NTPR;#6a3d9a
500U_SAT;#a6cee3
365U_SAT;#8dd3c7
135U_SAT;#1f78b4
dodeca;bisque3
SimpleSatellite;bisque3
Other;plum1
Complex_Satellite;plum1
